target,user
1041453,644036
1041456,1243482
1041458,2029256
1041459,644036
1041463,2745910
1041558,0
1041690,2745910
1042144,172860
1042884,4124090
1041997,4928806
1041440,2243857
1041398,3448839
1041368,4429721
1041862,1305588
1041417,644036
1041279,2497784
1046065,2703361
1049303,4461388
1046142,2897565
1045640,5928067
1044875,5854687
1043253,5893116
1042886,3538686
1042600,5323115
1042405,5912152
1042398,4248235
1041936,5798461
1041698,761268
1041525,2578660
1041484,5007869
1041501,2675447
1041430,1243482
1041447,4712534
1041320,986924
1041297,306452
1042956,0
1041715,0
1041225,0
1041086,0
1041186,37166
1038205,644036
1038213,656212
1038235,59561
1038454,1860617
1039157,769452
1039389,1440116
1039571,1860617
1038134,1622856
1038143,59561
1038190,0
1038268,521899
1038273,59561
1038407,2745910
1038113,1614257
1038175,1440116
1038171,2781854
1039786,4940231
1038573,5325169
1038201,456596
1038226,37166
1038252,59561
1038253,37166
1038365,456596
1039433,2686172
1039420,5897331
1039159,769452
1039156,769452
1039529,3616012
1038184,1860617
1038199,59561
1038219,1860617
1016662,113660
1016680,214989
1016703,0
1017875,761268
1018732,83633
1018807,5264912
1023125,5659204
1016497,5264912
1016553,4928806
1016705,5264912
1018572,0
1018771,3355848
1018809,5264912
1028692,5399510
1018081,2191934
1023126,5659204
1023196,5264912
1023198,5264912
1025133,4287302
1016692,548996
1018525,190923
1023129,5659204
1016350,113660
1016352,5659204
1018093,2578660
1018583,942701
1023557,4576966
1023794,5264912
1016343,1968272
1039945,3952061
1036089,5720483
1032971,5568746
1028035,4629590
1025491,4576966
1016660,2593251
1006883,644036
1006905,59561
1007817,4338270
1021358,862519
1021413,59561
1006336,5729704
1006331,3446727
1006163,114978
1006354,5309
1029751,5399510
1025125,4287302
1025169,761268
1025192,4287302
1016330,83633
1007249,306452
1030335,4940231
1030330,4940231
1028862,3298475
1013559,4038609
1007119,3451735
1007132,59561
1040181,0
1035909,0
1030333,0
1030331,0
1045208,5924744
1042010,4928806
1033692,3546073
1011093,5779494
1010800,5778273
1010426,382386
1009989,5258814
1007597,5630044
1185466,6557309
1106262,3944866
1043555,2490236
1042760,113660
1046141,172860
1046010,5873554
1045513,3684937
1045005,3394758
1044211,5659116
1043968,5168883
1043922,75976
1043871,1680848
1043713,2246613
1043543,3154376
1042844,1305588
1042960,317344
1043486,1305588
1042824,2497784
1042951,317344
1042766,2745910
1185472,6557309
1529395,3166408
1043353,4287302
1043381,220927
1043297,4723999
1043380,220927
1043001,3002383
1043037,220927
1042923,1688884
1042954,220927
1042822,3564216
1042851,220927
1042134,4338270
1042449,220927
1041992,2497784
1041996,220927
1041969,1622856
1041976,220927
1497707,6541719
1015828,113660
1015834,3451735
1015839,113660
1016430,2745125
1016585,347724
1016589,113660
1020401,347724
1022240,113660
1026916,75976
1016029,4203334
1016219,4010658
1016562,347724
1016608,4203334
1016701,4010658
1015677,3451735
1015684,75976
1015745,656212
1016057,1440116
1016130,656212
1016132,75976
1016760,2708740
1485591,5697631
1026438,2000147
1020090,1320281
1016427,2745125
1018105,75976
1015708,3307250
1015775,75976
1042362,1723677
1043293,3652230
1044039,5629559
1042871,2745910
1042933,443651
1043033,2745910
1043286,3652230
1042325,113660
1042821,3270621
1045010,3394758
1044133,5801110
1044096,1305588
1044088,4340172
1044077,5898465
1043996,3296872
1043980,3494023
1043854,2012318
1043757,1622856
1043641,3492308
1043593,1364892
1043545,3154376
1043485,5915701
1043393,2979208
1043306,5844273
1043289,2675447
1043187,75976
1043283,3652230
1042982,4287302
1042961,5914385
1042931,1532198
1043290,3652230
1042867,1377128
1042794,2745910
1042785,2477041
1042664,3063341
1042577,2876435
1042524,384029
1042506,521899
1043292,3652230
1042502,2497784
1042494,1675850
1042481,849438
1042264,1252070
1042238,1330628
1046977,2887189
1045991,172860
1046655,3652230
1047230,172860
1045307,4344756
1044295,2931152
1044152,5871161
1043762,5920041
1043756,3355848
1043716,2246613
1043279,4317484
1043287,3652230
1043357,4317484
1045485,4090576
1043057,3802168
1043284,3652230
1043596,3802168
1042881,703066
1043291,3652230
1042519,887797
1042464,974295
1393004,5250581
1102489,849438
1101828,5836717
1076330,4401754
1054641,5630315
1054058,3679314
1053196,2002232
1052983,4542648
1051683,2015897
1051390,1071922
1051144,4892201
1050730,4847459
1050685,1505251
1050335,5819615
1049688,4357049
1049687,5958777
1049669,5933676
1049480,3162636
1049339,632387
1048504,907773
1048503,5940269
1048426,4830059
1048312,2898834
1048050,5519483
1048046,5519509
1047888,3411156
1047752,3813270
1047646,1644100
1047606,5848638
1047330,5638377
